Please enter participant ID number,Democratic Presidential Primary,School,US House (District 8),US House (District 20),US House (District 25),U.S. House (District 27),U.S. House (District 28),U.S. House (District 29),U.S. House (District 30),US House (District 31),U.S. House (District 32),US House (District 33),U.S. House (District 34),U.S. House (District 37),U.S. House (District 38),U.S. House (District 40),US House (District 41),U.S. House (District 43),U.S. House (District 44),U.S. House (District 47),California Proposition 13
ARL1103,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1104,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1106,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
arl1107,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,No
ARL1109,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,,,,,
ARL1110,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL1111,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1112,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1113,Tom Steyer (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1212,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2000,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,,,,,
ARL2001,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2002,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2003,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2004,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2005,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2006,Andrew Yang (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2007,Andrew Yang (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL2008,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2009,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL2010,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL2011,Deval Patrick (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2012,Andrew Yang (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2013,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
arl2014,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2015,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2016,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2017,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL2019,Elizabeth Warren (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
